ourid,release_date,grossboxoffice,classgrossboxoffice,specialeffects,starvalue_director,starvalue_producer,startvalue_stars,origscreenoplayes,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,war,western,othergenre,competition,mpaa_rating,maxscreens,user_rating,opening___screens,estmated_budget,opening_weekend,number_of_weeks,movie_length,
11568,37883,95708457,8,4,3,2,3,No,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,L,R,0,6.8,2915,22000000,21753759,0,121,
11589,37750,104148781,8,3,3,2,3,Yes,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,M,PG,3472,5.4,3370,60000000,27623580,23,92,
11621,37946,100446895,8,4,2,4,4,No,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,H,PG,3464,3.4,3464,109000000,38329160,9,82,
11657,37722,133756285,8,3,3,2,4,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,PG-13,3656,6.1,3551,75000000,42220847,10,106,
11669,37673,86941509,8,3,3,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,R,2742,7,2689,24000000,17453216,10,91,
11690,37568,116724075,8,3,3,2,3,Yes,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,H,R,2585,6.7,2470,41000000,51240555,18,110,
11743,37692,76583333,8,3,3,2,3,Yes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,L,PG-13,1002,6.9,0,0,0,32,112,
11752,37701,75715436,8,4,3,4,3,No,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,L,R,2945,5.3,2945,68000000,15027423,9,136,
11773,37274,81150692,8,4,2,2,2,No,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,L,PG,2454,4.9,2302,35000000,23708174,21,99,
11807,37393,84600000,8,3,3,2,3,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,PG-13,1756,7.3,0,27000000,0,9,101,
11843,37323,123729176,8,4,3,3,3,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,L,PG-13,2958,5.7,2944,80000000,22610437,11,96,
11876,37274,108638745,8,4,4,4,3,No,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,L,R,3143,7.7,4,92000000,274347,16,144,
11877,37092,138191428,8,3,4,3,4,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,M,PG-13,3011,5.7,3011,48000000,30181877,14,102,
11905,37421,121468960,8,4,3,2,4,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,H,PG-13,2663,7.8,2638,60000000,27118640,21,119,
11916,37841,116643346,8,4,2,3,3,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,PG-13,3220,5.9,3202,70000000,37062535,13,117,
11948,37386,122000000,8,3,2,3,3,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,M,R,2624,6.6,2613,50000000,14065277,14,124,
11951,37085,95001351,8,3,3,2,3,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,PG-13,2725,6.2,2620,18000000,20377426,15,96,
11997,37456,99800000,8,5,3,2,3,No,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,M,PG,3282,5.6,3255,120000000,15115152,21,0,
12088,36847,96085477,8,4,2,2,3,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,H,PG-13,2516,5.8,2516,82000000,13020883,9,123,
12130,36903,91057006,8,3,2,2,3,No,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,L,PG-13,2570,5.9,2230,13000000,27526443,25,112,
12240,37820,138396624,8,4,4,4,4,No,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,M,R,3202,6.2,3186,130000000,46522560,13,147,
10012,40466,18329466,5,3,3,2,3,No,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,L,R,916,8,11,18000000,264851,22,107,
